No,Bahan Pakan,Kategori,Harga/kg,BK (%),Abu (%),Lemak (%),Serat (%),Protein (%),BETN (%),TDN (%),ME (KJoule/kg),Ca (%),P (%),Sumber
1,Pollard T,konsentrat,4500,86.63,4.49,4.85,9.29,13.47,67.90,79.25,11.97,0.04,0.58,
2,Pollard C,konsentrat,4700,86.21,4.60,3.83,7.19,14.11,70.27,80.76,12.20,0.04,0.55,
3,Konsentrat N,konsentrat,4600,88.52,7.49,4.17,17.88,14.78,55.68,67.16,10.14,0.80,0.60,
4,Konsentrat M,konsentrat,4400,87.21,9.09,3.33,16.18,20.32,51.08,71.14,10.74,1.06,0.50,
5,Singkong,konsentrat,3000,30.85,2.70,0.73,0.70,1.41,94.46,82.02,12.39,0.15,0.11,
6,Rumput Lapang,hijauan,500,23.56,19.78,1.74,27.49,12.45,38.54,58.51,8.84,0.55,0.21,
7,Rumput Gajah,hijauan,500,29.24,17.90,1.27,31.21,9.35,40.27,54.58,8.24,0.42,0.25,
8,Rumput Odot,hijauan,2000,22.10,22.18,3.11,21.93,16.90,35.88,65.01,9.82,0.34,0.31,
9,Rumput Pakchong,hijauan,1000,20.58,22.18,1.76,28.44,8.11,39.51,56.78,8.58,0.78,0.42,
10,Daun Singkong,hijauan,500,28.83,13.86,1.19,34.66,10.76,39.53,52.16,7.88,0.17,0.15,
11,Daun Pepaya,hijauan,500,29.75,7.40,5.57,41.40,27.74,17.89,46.53,7.03,0.21,0.21,
12,Batang Pepaya,hijauan,500,14.79,11.78,6.36,29.17,23.32,29.37,56.96,8.60,0.21,0.21,
13,Pepaya + Singkong Batang,hijauan,500,17.47,16.27,3.40,35.16,3.84,41.33,52.40,7.91,0.15,0.15,
14,Pollard K,konsentrat,4500,83.60,9.39,2.00,27.47,9.72,51.42,59.36,8.97,0.10,0.91,
15,Bekatul,konsentrat,3000,82.97,9.20,4.19,14.37,10.28,61.96,68.06,10.28,0.04,0.55,
16,Konsentrat Fermentasi,konsentrat,3800,65.43,4.68,2.18,10.75,15.35,67.04,75.67,11.43,1.20,0.50,
17,Konsentrat W,konsentrat,4000,86.93,4.59,2.00,17.70,14.88,60.83,67.73,10.23,0.59,0.30,
18,Ampas Tahu,konsentrat,3000,21.75,5.15,2.21,18.49,17.91,56.25,70.72,10.68,0.45,0.15,
19,Jerami Padi Kering,hijauan,4000,39.79,23.43,2.78,27.08,5.26,41.45,58.30,8.81,0.26,0.09,
20,Daun Nangka Segar,hijauan,1000,16.00,25.00,4.40,20.00,12.50,38.10,43.00,1.45,0.50,0.50,
21,Daun Nangka Kering,hijauan,1000,86.00,25.30,4.40,19.80,12.20,38.30,53.00,1.89,0.50,0.50,
22,Rumput Para (Lapang kecil),hijauan,1000,31.00,9.40,1.60,32.90,6.50,49.70,54.00,1.94,0.36,0.16,
23,Rumput Sinyal (Lapang panjang),hijauan,1000,32.00,10.90,1.30,32.20,6.60,49.10,56.00,2.02,0.16,0.22,
24,Buah Pepaya Matang,konsentrat,1000,10.00,7.40,1.10,8.40,6.30,76.80,61.00,2.28,0.21,0.21,
25,Buah Pepaya Muda,konsentrat,1000,7.00,6.90,1.40,12.50,11.10,68.10,57.00,2.11,0.21,0.21,
26,Daun Gamal,hijauan,1000,27.00,9.70,3.00,18.00,19.10,50.20,76.00,2.92,0.18,0.05,
27,Bungkil Kedelai,konsentrat,4000,86.00,6.70,1.30,5.10,51.90,35.00,84.00,3.30,0.34,0.70,
28,Ketela,konsentrat,4000,31.00,3.60,1.30,4.20,5.60,85.30,75.00,2.91,0.03,0.05,
29,Jerami Jagung,hijauan,4000,26.31,12.05,2.50,27.42,8.45,49.58,59.39,2.09,0.21,0.15,
30,Rumput Raja,hijauan,4000,19.58,15.49,4.32,33.20,6.47,40.52,55.42,1.58,0.23,0.23,
31,Batang Pisang,hijauan,4000,9.80,18.40,3.20,31.70,8.80,31.60,43.00,0.00,0.16,0.32,
32,Rumput Benggala,hijauan,4000,26.00,10.60,2.30,39.40,4.90,42.80,44.00,1.53,0.38,0.31,
